i;j;OS_Com;WN_Com;ST_Com;ST_l_Com;ST_h_Com;ST_lh_Com;WN_repl_Com;WN_rich_Com;OS_Poi;WN_Poi;ST_Poi
dados6;dados7;0.074074074;0.925925926;0.851851852;0.37037037;0.259259259;0.222222222;0.814814815;0.111111111;0.5;0.925925926;0.425925926
dados6;dados8;0.214285714;0.892857143;0.678571429;0.357142857;0.25;0.071428571;0.857142857;0.035714286;0.666666667;0.892857143;0.226190476
dados6;dados9;0.15;0.85;0.7;0.35;0.1;0.25;0.4;0.45;0.5;0.85;0.35
dados6;dados10;0.181818182;0.909090909;0.727272727;0.454545455;0.090909091;0.181818182;0.545454545;0.363636364;0.666666667;0.909090909;0.242424242
dados6;dados11;0.172413793;0.689655172;0.517241379;0.413793103;0.103448276;0;0.482758621;0.206896552;0.357142857;0.689655172;0.332512315
dados6;dados12;0.12;0.96;0.84;0.44;0.12;0.28;0.72;0.24;0.75;0.96;0.21
dados7;dados8;0.269230769;0.923076923;0.653846154;0.384615385;0.076923077;0.192307692;0.846153846;0.076923077;0.777777778;0.923076923;0.145299145
dados7;dados9;0.15;1;0.85;0.05;0.3;0.5;0.7;0.3;1;1;0
dados7;dados10;0.333333333;0.833333333;0.5;0.333333333;0.111111111;0.055555556;0.555555556;0.277777778;0.666666667;0.833333333;0.166666667
dados7;dados11;0.258064516;0.870967742;0.612903226;0.161290323;0.290322581;0.161290323;0.580645161;0.290322581;0.666666667;0.870967742;0.204301075
dados7;dados12;0.095238095;0.904761905;0.80952381;0.285714286;0.285714286;0.238095238;0.761904762;0.142857143;0.5;0.904761905;0.404761905
dados8;dados9;0.052631579;0.842105263;0.789473684;0.263157895;0.263157895;0.263157895;0.421052632;0.421052632;0.25;0.842105263;0.592105263
dados8;dados10;0.380952381;0.904761905;0.523809524;0.380952381;0.047619048;0.095238095;0.571428571;0.333333333;0.8;0.904761905;0.104761905
dados8;dados11;0.4375;0.84375;0.40625;0.28125;0.125;0;0.625;0.21875;0.736842105;0.84375;0.106907895
dados8;dados12;0.166666667;0.958333333;0.791666667;0.333333333;0.166666667;0.291666667;0.75;0.208333333;0.8;0.958333333;0.158333333
dados9;dados10;0.076923077;0.846153846;0.769230769;0.307692308;0.230769231;0.230769231;0.769230769;0.076923077;0.333333333;0.846153846;0.512820513
dados9;dados11;0.192307692;0.884615385;0.692307692;0.307692308;0.115384615;0.269230769;0.307692308;0.576923077;0.625;0.884615385;0.259615385
dados9;dados12;0.133333333;0.866666667;0.733333333;0.133333333;0.266666667;0.333333333;0.666666667;0.2;0.5;0.866666667;0.366666667
dados10;dados11;0.217391304;0.695652174;0.47826087;0.304347826;0;0.173913043;0.086956522;0.608695652;0.416666667;0.695652174;0.278985507
dados10;dados12;0.125;0.875;0.75;0.1875;0.25;0.3125;0.75;0.125;0.5;0.875;0.375
dados11;dados12;0.172413793;0.896551724;0.724137931;0.379310345;0.137931034;0.206896552;0.482758621;0.413793103;0.625;0.896551724;0.271551724
