;1;2;3;4;5;6;7;8;9;10;11;12
1;0;0.321428571;0.347222222;0.267857143;0.274509804;0.375;0.4;0.123188406;0.269230769;0.263736264;0.34469697;0.282352941
2;0.321428571;0;0.1352657;0.208333333;0.573529412;0.397515528;0.159090909;0.245454545;0.375;0.241071429;0.206043956;0.228070175
3;0.347222222;0.1352657;0;0.232142857;0.35;0.179487179;0.142222222;0.184615385;0.764705882;0.442105263;0.214285714;0.206521739
4;0.267857143;0.208333333;0.232142857;0;0.111111111;0.557142857;0.304761905;0.158333333;0.266666667;0.125;0.37037037;0.222222222
5;0.274509804;0.573529412;0.35;0.111111111;0;0.313043478;0.285714286;0.292397661;0.857142857;0.270833333;0.351851852;0.277777778
6;0.375;0.397515528;0.179487179;0.557142857;0.313043478;0;0.425925926;0.226190476;0.35;0.242424242;0.332512315;0.21
7;0.4;0.159090909;0.142222222;0.304761905;0.285714286;0.425925926;0;0.145299145;0;0.166666667;0.204301075;0.404761905
8;0.123188406;0.245454545;0.184615385;0.158333333;0.292397661;0.226190476;0.145299145;0;0.592105263;0.104761905;0.106907895;0.158333333
9;0.269230769;0.375;0.764705882;0.266666667;0.857142857;0.35;0;0.592105263;0;0.512820513;0.259615385;0.366666667
10;0.263736264;0.241071429;0.442105263;0.125;0.270833333;0.242424242;0.166666667;0.104761905;0.512820513;0;0.278985507;0.375
11;0.34469697;0.206043956;0.214285714;0.37037037;0.351851852;0.332512315;0.204301075;0.106907895;0.259615385;0.278985507;0;0.271551724
12;0.282352941;0.228070175;0.206521739;0.222222222;0.277777778;0.21;0.404761905;0.158333333;0.366666667;0.375;0.271551724;0
