;1;2;3;4;5;6;7;8;9;10;11;12
1;0;0.25;0.277777778;0.357142857;0.647058824;0.45;0.3;0.391304348;0.230769231;0.230769231;0.291666667;0.235294118
2;0.25;0;0.391304348;0.277777778;0.647058824;0.304347826;0.318181818;0.35;0.1875;0.4375;0.285714286;0.315789474
3;0.277777778;0.391304348;0;0.428571429;0.35;0.307692308;0.32;0.346153846;0.176470588;0.631578947;0.214285714;0.391304348
4;0.357142857;0.277777778;0.428571429;0;0.5;0.35;0.285714286;0.5;0.333333333;0.375;0.407407407;0.111111111
5;0.647058824;0.647058824;0.35;0.5;0;0.391304348;0.380952381;0.210526316;0.214285714;0.5625;0.333333333;0.444444444
6;0.45;0.304347826;0.307692308;0.35;0.391304348;0;0.37037037;0.357142857;0.35;0.454545455;0.413793103;0.44
7;0.3;0.318181818;0.32;0.285714286;0.380952381;0.37037037;0;0.384615385;0.05;0.333333333;0.161290323;0.285714286
8;0.391304348;0.35;0.346153846;0.5;0.210526316;0.357142857;0.384615385;0;0.263157895;0.380952381;0.28125;0.333333333
9;0.230769231;0.1875;0.176470588;0.333333333;0.214285714;0.35;0.05;0.263157895;0;0.307692308;0.307692308;0.133333333
10;0.230769231;0.4375;0.631578947;0.375;0.5625;0.454545455;0.333333333;0.380952381;0.307692308;0;0.304347826;0.1875
11;0.291666667;0.285714286;0.214285714;0.407407407;0.333333333;0.413793103;0.161290323;0.28125;0.307692308;0.304347826;0;0.379310345
12;0.235294118;0.315789474;0.391304348;0.111111111;0.444444444;0.44;0.285714286;0.333333333;0.133333333;0.1875;0.379310345;0
