;1;2;3;4;5;6;7;8;9;10;11;12
1;0;0.5625;0.555555556;0.428571429;0.823529412;0.6;0.8;0.739130435;0.538461538;0.461538462;0.541666667;0.705882353
2;0.5625;0;0.608695652;0.555555556;0.764705882;0.695652174;0.636363636;0.45;0.75;0.5625;0.535714286;0.684210526
3;0.555555556;0.608695652;0;0.619047619;0.7;0.538461538;0.64;0.615384615;0.764705882;0.736842105;0.428571429;0.826086957
4;0.428571429;0.555555556;0.619047619;0;0.666666667;0.65;0.761904762;0.791666667;0.666666667;0.5;0.666666667;0.666666667
5;0.823529412;0.764705882;0.7;0.666666667;0;0.782608696;0.857142857;0.526315789;0.857142857;0.8125;0.703703704;0.833333333
6;0.6;0.695652174;0.538461538;0.65;0.782608696;0;0.851851852;0.678571429;0.7;0.727272727;0.517241379;0.84
7;0.8;0.636363636;0.64;0.761904762;0.857142857;0.851851852;0;0.653846154;0.85;0.5;0.612903226;0.80952381
8;0.739130435;0.45;0.615384615;0.791666667;0.526315789;0.678571429;0.653846154;0;0.789473684;0.523809524;0.40625;0.791666667
9;0.538461538;0.75;0.764705882;0.666666667;0.857142857;0.7;0.85;0.789473684;0;0.769230769;0.692307692;0.733333333
10;0.461538462;0.5625;0.736842105;0.5;0.8125;0.727272727;0.5;0.523809524;0.769230769;0;0.47826087;0.75
11;0.541666667;0.535714286;0.428571429;0.666666667;0.703703704;0.517241379;0.612903226;0.40625;0.692307692;0.47826087;0;0.724137931
12;0.705882353;0.684210526;0.826086957;0.666666667;0.833333333;0.84;0.80952381;0.791666667;0.733333333;0.75;0.724137931;0
