;1;2;3;4;5;6;7;8;9;10;11;12
1;0;0.0625;0.166666667;0;0.117647059;0.15;0.2;0.086956522;0.076923077;0.076923077;0.166666667;0.117647059
2;0.0625;0;0.043478261;0.222222222;0.117647059;0.086956522;0.227272727;0;0.3125;0;0.071428571;0.052631579
3;0.166666667;0.043478261;0;0.142857143;0.25;0;0.12;0.153846154;0.176470588;0.052631579;0.035714286;0.260869565
4;0;0.222222222;0.142857143;0;0.111111111;0.25;0.095238095;0.166666667;0.066666667;0.0625;0.222222222;0.222222222
5;0.117647059;0.117647059;0.25;0.111111111;0;0.130434783;0.285714286;0.157894737;0.428571429;0.1875;0.148148148;0.222222222
6;0.15;0.086956522;0;0.25;0.130434783;0;0.222222222;0.071428571;0.25;0.181818182;0;0.28
7;0.2;0.227272727;0.12;0.095238095;0.285714286;0.222222222;0;0.192307692;0.5;0.055555556;0.161290323;0.238095238
8;0.086956522;0;0.153846154;0.166666667;0.157894737;0.071428571;0.192307692;0;0.263157895;0.095238095;0;0.291666667
9;0.076923077;0.3125;0.176470588;0.066666667;0.428571429;0.25;0.5;0.263157895;0;0.230769231;0.269230769;0.333333333
10;0.076923077;0;0.052631579;0.0625;0.1875;0.181818182;0.055555556;0.095238095;0.230769231;0;0.173913043;0.3125
11;0.166666667;0.071428571;0.035714286;0.222222222;0.148148148;0;0.161290323;0;0.269230769;0.173913043;0;0.206896552
12;0.117647059;0.052631579;0.260869565;0.222222222;0.222222222;0.28;0.238095238;0.291666667;0.333333333;0.3125;0.206896552;0
