;1;2;3;4;5;6;7;8;9;10;11;12
1;0;0.75;0.722222222;0.642857143;0.941176471;0.75;0.9;0.956521739;0.769230769;0.692307692;0.708333333;0.882352941
2;0.75;0;0.913043478;0.833333333;0.823529412;0.826086957;0.909090909;0.7;0.875;0.8125;0.821428571;0.894736842
3;0.722222222;0.913043478;0;0.857142857;0.85;0.846153846;0.92;0.884615385;0.764705882;0.842105263;0.714285714;0.956521739
4;0.642857143;0.833333333;0.857142857;0;0.944444444;0.7;0.904761905;0.958333333;0.866666667;0.875;0.814814815;0.888888889
5;0.941176471;0.823529412;0.85;0.944444444;0;0.913043478;0.952380952;0.736842105;0.857142857;0.9375;0.851851852;0.944444444
6;0.75;0.826086957;0.846153846;0.7;0.913043478;0;0.925925926;0.892857143;0.85;0.909090909;0.689655172;0.96
7;0.9;0.909090909;0.92;0.904761905;0.952380952;0.925925926;0;0.923076923;1;0.833333333;0.870967742;0.904761905
8;0.956521739;0.7;0.884615385;0.958333333;0.736842105;0.892857143;0.923076923;0;0.842105263;0.904761905;0.84375;0.958333333
9;0.769230769;0.875;0.764705882;0.866666667;0.857142857;0.85;1;0.842105263;0;0.846153846;0.884615385;0.866666667
10;0.692307692;0.8125;0.842105263;0.875;0.9375;0.909090909;0.833333333;0.904761905;0.846153846;0;0.695652174;0.875
11;0.708333333;0.821428571;0.714285714;0.814814815;0.851851852;0.689655172;0.870967742;0.84375;0.884615385;0.695652174;0;0.896551724
12;0.882352941;0.894736842;0.956521739;0.888888889;0.944444444;0.96;0.904761905;0.958333333;0.866666667;0.875;0.896551724;0
