;1;2;3;4;5;6;7;8;9;10;11;12
1;0;0.25;0.111111111;0.071428571;0.058823529;0;0.3;0.260869565;0.230769231;0.153846154;0.083333333;0.352941176
2;0.25;0;0.173913043;0.055555556;0;0.304347826;0.090909091;0.1;0.25;0.125;0.178571429;0.315789474
3;0.111111111;0.173913043;0;0.047619048;0.1;0.230769231;0.2;0.115384615;0.411764706;0.052631579;0.178571429;0.173913043
4;0.071428571;0.055555556;0.047619048;0;0.055555556;0.05;0.380952381;0.125;0.266666667;0.0625;0.037037037;0.333333333
5;0.058823529;0;0.1;0.055555556;0;0.260869565;0.19047619;0.157894737;0.214285714;0.0625;0.222222222;0.166666667
6;0;0.304347826;0.230769231;0.05;0.260869565;0;0.259259259;0.25;0.1;0.090909091;0.103448276;0.12
7;0.3;0.090909091;0.2;0.380952381;0.19047619;0.259259259;0;0.076923077;0.3;0.111111111;0.290322581;0.285714286
8;0.260869565;0.1;0.115384615;0.125;0.157894737;0.25;0.076923077;0;0.263157895;0.047619048;0.125;0.166666667
9;0.230769231;0.25;0.411764706;0.266666667;0.214285714;0.1;0.3;0.263157895;0;0.230769231;0.115384615;0.266666667
10;0.153846154;0.125;0.052631579;0.0625;0.0625;0.090909091;0.111111111;0.047619048;0.230769231;0;0;0.25
11;0.083333333;0.178571429;0.178571429;0.037037037;0.222222222;0.103448276;0.290322581;0.125;0.115384615;0;0;0.137931034
12;0.352941176;0.315789474;0.173913043;0.333333333;0.166666667;0.12;0.285714286;0.166666667;0.266666667;0.25;0.137931034;0
