;1;2;3;4;5;6;7;8;9;10;11;12
1;0;0.625;0.444444444;0.571428571;0.941176471;0.4;0.7;0.695652174;0.615384615;0.615384615;0.166666667;0.823529412
2;0.625;0;0.782608696;0.777777778;0.705882353;0.608695652;0.818181818;0.5;0.625;0.625;0.428571429;0.842105263
3;0.444444444;0.782608696;0;0.666666667;0.6;0.769230769;0.88;0.846153846;0.352941176;0.526315789;0.428571429;0.782608696
4;0.571428571;0.777777778;0.666666667;0;0.888888889;0.4;0.761904762;0.75;0.666666667;0.75;0.37037037;0.888888889
5;0.941176471;0.705882353;0.6;0.888888889;0;0.608695652;0.761904762;0.421052632;0.714285714;0.875;0.37037037;0.888888889
6;0.4;0.608695652;0.769230769;0.4;0.608695652;0;0.814814815;0.857142857;0.4;0.545454545;0.482758621;0.72
7;0.7;0.818181818;0.88;0.761904762;0.761904762;0.814814815;0;0.846153846;0.7;0.555555556;0.580645161;0.761904762
8;0.695652174;0.5;0.846153846;0.75;0.421052632;0.857142857;0.846153846;0;0.421052632;0.571428571;0.625;0.75
9;0.615384615;0.625;0.352941176;0.666666667;0.714285714;0.4;0.7;0.421052632;0;0.769230769;0.307692308;0.666666667
10;0.615384615;0.625;0.526315789;0.75;0.875;0.545454545;0.555555556;0.571428571;0.769230769;0;0.086956522;0.75
11;0.166666667;0.428571429;0.428571429;0.37037037;0.37037037;0.482758621;0.580645161;0.625;0.307692308;0.086956522;0;0.482758621
12;0.823529412;0.842105263;0.782608696;0.888888889;0.888888889;0.72;0.761904762;0.75;0.666666667;0.75;0.482758621;0
