;1;2;3;4;5;6;7;8;9;10;11;12
1;0;0.428571429;0.375;0.375;0.666666667;0.375;0.5;0.833333333;0.5;0.428571429;0.363636364;0.6
2;0.428571429;0;0.777777778;0.625;0.25;0.428571429;0.75;0.454545455;0.5;0.571428571;0.615384615;0.666666667
3;0.375;0.777777778;0;0.625;0.5;0.666666667;0.777777778;0.7;0;0.4;0.5;0.75
4;0.375;0.625;0.625;0;0.833333333;0.142857143;0.6;0.8;0.6;0.75;0.444444444;0.666666667
5;0.666666667;0.25;0.5;0.833333333;0;0.6;0.666666667;0.444444444;0;0.666666667;0.5;0.666666667
6;0.375;0.428571429;0.666666667;0.142857143;0.6;0;0.5;0.666666667;0.5;0.666666667;0.357142857;0.75
7;0.5;0.75;0.777777778;0.6;0.666666667;0.5;0;0.777777778;1;0.666666667;0.666666667;0.5
8;0.833333333;0.454545455;0.7;0.8;0.444444444;0.666666667;0.777777778;0;0.25;0.8;0.736842105;0.8
9;0.5;0.5;0;0.6;0;0.5;1;0.25;0;0.333333333;0.625;0.5
10;0.428571429;0.571428571;0.4;0.75;0.666666667;0.666666667;0.666666667;0.8;0.333333333;0;0.416666667;0.5
11;0.363636364;0.615384615;0.5;0.444444444;0.5;0.357142857;0.666666667;0.736842105;0.625;0.416666667;0;0.625
12;0.6;0.666666667;0.75;0.666666667;0.666666667;0.75;0.5;0.8;0.5;0.5;0.625;0
