;1;2;3;4;5;6;7;8;9;10;11;12
1;0;0.1875;0.166666667;0.214285714;0.117647059;0.15;0.1;0.217391304;0.230769231;0.230769231;0.166666667;0.176470588
2;0.1875;0;0.304347826;0.277777778;0.058823529;0.130434783;0.272727273;0.25;0.125;0.25;0.285714286;0.210526316
3;0.166666667;0.304347826;0;0.238095238;0.15;0.307692308;0.28;0.269230769;0;0.105263158;0.285714286;0.130434783
4;0.214285714;0.277777778;0.238095238;0;0.277777778;0.05;0.142857143;0.166666667;0.2;0.375;0.148148148;0.222222222
5;0.117647059;0.058823529;0.15;0.277777778;0;0.130434783;0.095238095;0.210526316;0;0.125;0.148148148;0.111111111
6;0.15;0.130434783;0.307692308;0.05;0.130434783;0;0.074074074;0.214285714;0.15;0.181818182;0.172413793;0.12
7;0.1;0.272727273;0.28;0.142857143;0.095238095;0.074074074;0;0.269230769;0.15;0.333333333;0.258064516;0.095238095
8;0.217391304;0.25;0.269230769;0.166666667;0.210526316;0.214285714;0.269230769;0;0.052631579;0.380952381;0.4375;0.166666667
9;0.230769231;0.125;0;0.2;0;0.15;0.15;0.052631579;0;0.076923077;0.192307692;0.133333333
10;0.230769231;0.25;0.105263158;0.375;0.125;0.181818182;0.333333333;0.380952381;0.076923077;0;0.217391304;0.125
11;0.166666667;0.285714286;0.285714286;0.148148148;0.148148148;0.172413793;0.258064516;0.4375;0.192307692;0.217391304;0;0.172413793
12;0.176470588;0.210526316;0.130434783;0.222222222;0.111111111;0.12;0.095238095;0.166666667;0.133333333;0.125;0.172413793;0
